feature,importance
OCCUPATION_TYPE_Realty_agents,1
NAME_EDUCATION_TYPE_Academic_degree,1
NAME_HOUSING_TYPE_Co_op_apartment,1
OCCUPATION_TYPE_Waiters_barmen_staff,1
OCCUPATION_TYPE_Managers,1
OCCUPATION_TYPE_Private_service_staff,1
ORGANIZATION_TYPE_Industry__type_2,1
DAYS_EMPLOYED_na,0
EXT_SOURCE_3_na,0
FLAG_MOBIL,0
AMT_REQ_CREDIT_BUREAU_WEEK_na,0
AMT_REQ_CREDIT_BUREAU_MON_na,0
AMT_REQ_CREDIT_BUREAU_YEAR_na,0
AMT_REQ_CREDIT_BUREAU_HOUR_na,0
AMT_REQ_CREDIT_BUREAU_DAY_na,0
OBS_30_CNT_SOCIAL_CIRCLE_na,0
NAME_INCOME_TYPE_Unemployed,0
NAME_INCOME_TYPE_Student,0
NAME_INCOME_TYPE_Pensioner,0
NAME_INCOME_TYPE_Businessman,0
NAME_TYPE_SUITE_Other_A,0
CNT_FAM_MEMBERS_na,0
DAYS_LAST_PHONE_CHANGE_na,0
NAME_TYPE_SUITE_Group_of_people,0
AMT_GOODS_PRICE_na,0
DEF_30_CNT_SOCIAL_CIRCLE_na,0
OBS_60_CNT_SOCIAL_CIRCLE_na,0
AMT_ANNUITY_na,0
DEF_60_CNT_SOCIAL_CIRCLE_na,0
AMT_REQ_CREDIT_BUREAU_QRT_na,0
FLAG_DOCUMENT_2,0
ORGANIZATION_TYPE_Emergency,0
ORGANIZATION_TYPE_Agriculture,0
ORGANIZATION_TYPE_Advertising,0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0
OCCUPATION_TYPE_Secretaries,0
NAME_TYPE_SUITE_Family,0
ORGANIZATION_TYPE_Culture,0
ORGANIZATION_TYPE_Electricity,0
OCCUPATION_TYPE_Medicine_staff,0
OCCUPATION_TYPE_IT_staff,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_17,0
FLAG_DOCUMENT_21,0
FLAG_DOCUMENT_20,0
OCCUPATION_TYPE_HR_staff,0
ORGANIZATION_TYPE_Industry__type_8,0
ORGANIZATION_TYPE_Industry__type_7,0
ORGANIZATION_TYPE_Industry__type_6,0
ORGANIZATION_TYPE_Industry__type_5,0
ORGANIZATION_TYPE_Industry__type_3,0
ORGANIZATION_TYPE_Industry__type_13,0
ORGANIZATION_TYPE_Industry__type_10,0
ORGANIZATION_TYPE_Industry__type_11,0
ORGANIZATION_TYPE_Hotel,0
ORGANIZATION_TYPE_Government,0
ORGANIZATION_TYPE_Industry__type_1,0
ORGANIZATION_TYPE_Housing,0
FLAG_DOCUMENT_15,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_10,0
ORGANIZATION_TYPE_Cleaning,0
ORGANIZATION_TYPE_Business_Entity_Type_2,0
FLAG_DOCUMENT_6,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_5,0
FLAG_DOCUMENT_4,0
ORGANIZATION_TYPE_Telecom,0
ORGANIZATION_TYPE_Services,0
ORGANIZATION_TYPE_Transport__type_2,0
ORGANIZATION_TYPE_Transport__type_1,0
ORGANIZATION_TYPE_Other,0
ORGANIZATION_TYPE_Religion,0
ORGANIZATION_TYPE_Mobile,0
ORGANIZATION_TYPE_Insurance,0
ORGANIZATION_TYPE_Legal_Services,0
ORGANIZATION_TYPE_Medicine,0
FLAG_CONT_MOBILE,0
ORGANIZATION_TYPE_XNA,0
ORGANIZATION_TYPE_Trade__type_4,0
ORGANIZATION_TYPE_Trade__type_1,0
ORGANIZATION_TYPE_Trade__type_5,0
ORGANIZATION_TYPE_Trade__type_6,0
FONDKAPREMONT_MODE_org_spec_account,0
REG_CITY_NOT_WORK_CITY,0
HOUSETYPE_MODE_terraced_house,0
HOUSETYPE_MODE_block_of_flats,0
LIVE_CITY_NOT_WORK_CITY,0
WALLSMATERIAL_MODE_Block,0
WALLSMATERIAL_MODE_Monolithic,0
WALLSMATERIAL_MODE_Mixed,0
WALLSMATERIAL_MODE_Stone__brick,0
DAYS_EMPLOYED_ANOM,0
FLOORSMIN_MEDI_na,0
FLOORSMIN_MODE_na,0
FLOORSMIN_AVG_na,0
YEARS_BUILD_AVG_na,0
YEARS_BUILD_MODE_na,0
YEARS_BUILD_MEDI_na,0
OWN_CAR_AGE_na,0
EXT_SOURCE_1_na,0
FLOORSMAX_AVG_na,0
FLOORSMAX_MODE_na,0
FLOORSMAX_MEDI_na,0
YEARS_BEGINEXPLUATATION_AVG_na,0
YEARS_BEGINEXPLUATATION_MODE_na,0
YEARS_BEGINEXPLUATATION_MEDI_na,0
TOTALAREA_MODE_na,0
EXT_SOURCE_2_na,0
