feature,importance
FLAG_DOCUMENT_8,1
FLAG_DOCUMENT_15,1
ORGANIZATION_TYPE_Industry_type_5,1
ELEVATORS_MEDI,1
ORGANIZATION_TYPE_Housing,1
ORGANIZATION_TYPE_Hotel,1
OCCUPATION_TYPE_Realty_agents,1
FLAG_DOCUMENT_6,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,1
FLAG_OWN_REALTY,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,1
OCCUPATION_TYPE_Sales_staff,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,1
NAME_FAMILY_STATUS_Separated,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,1
FLAG_DOCUMENT_11,1
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_21,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
NAME_INCOME_TYPE_Unemployed,0
NAME_INCOME_TYPE_Student,0
NAME_INCOME_TYPE_Pensioner,0
OBS_60_CNT_SOCIAL_CIRCLE_na,0
AMT_GOODS_PRICE_na,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_17,0
NAME_INCOME_TYPE_Businessman,0
NAME_TYPE_SUITE_Group_of_people,0
NAME_TYPE_SUITE_Other_B,0
AMT_REQ_CREDIT_BUREAU_DAY_na,0
AMT_REQ_CREDIT_BUREAU_QRT_na,0
DEF_60_CNT_SOCIAL_CIRCLE_na,0
OBS_30_CNT_SOCIAL_CIRCLE_na,0
AMT_REQ_CREDIT_BUREAU_MON_na,0
AMT_REQ_CREDIT_BUREAU_YEAR_na,0
DEF_30_CNT_SOCIAL_CIRCLE_na,0
AMT_REQ_CREDIT_BUREAU_HOUR_na,0
FLAG_MOBIL,0
EXT_SOURCE_3_na,0
DAYS_EMPLOYED_na,0
AMT_ANNUITY_na,0
DAYS_LAST_PHONE_CHANGE_na,0
CNT_FAM_MEMBERS_na,0
ORGANIZATION_TYPE_Business_Entity_Type_2,0
OCCUPATION_TYPE_HR_staff,0
ORGANIZATION_TYPE_Industry_type_7,0
ORGANIZATION_TYPE_Industry_type_8,0
ORGANIZATION_TYPE_Industry_type_4,0
ORGANIZATION_TYPE_Industry_type_6,0
ORGANIZATION_TYPE_Industry_type_3,0
ORGANIZATION_TYPE_Industry_type_11,0
ORGANIZATION_TYPE_Industry_type_13,0
ORGANIZATION_TYPE_Industry_type_2,0
ORGANIZATION_TYPE_Industry_type_1,0
ORGANIZATION_TYPE_Industry_type_10,0
FLAG_DOCUMENT_2,0
ORGANIZATION_TYPE_Emergency,0
FLAG_DOCUMENT_10,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_12,0
ORGANIZATION_TYPE_Cleaning,0
FLAG_DOCUMENT_5,0
FLAG_DOCUMENT_4,0
OCCUPATION_TYPE_IT_staff,0
OCCUPATION_TYPE_Cooking_staff,0
NAME_TYPE_SUITE_Family,0
NAME_FAMILY_STATUS_Widow,0
NAME_HOUSING_TYPE_Co_op_apartment,0
OCCUPATION_TYPE_Private_service_staff,0
OCCUPATION_TYPE_Managers,0
OCCUPATION_TYPE_Secretaries,0
OCCUPATION_TYPE_Security_staff,0
OCCUPATION_TYPE_Waiters_barmen_staff,0
ORGANIZATION_TYPE_Advertising,0
ORGANIZATION_TYPE_Agriculture,0
ORGANIZATION_TYPE_Services,0
FONDKAPREMONT_MODE_org_spec_account,0
ORGANIZATION_TYPE_Telecom,0
ORGANIZATION_TYPE_Trade_type_1,0
ORGANIZATION_TYPE_Trade_type_4,0
ORGANIZATION_TYPE_Trade_type_5,0
ORGANIZATION_TYPE_Trade_type_6,0
ORGANIZATION_TYPE_Trade_type_7,0
ORGANIZATION_TYPE_Transport_type_1,0
ORGANIZATION_TYPE_Religion,0
ORGANIZATION_TYPE_Mobile,0
ORGANIZATION_TYPE_Medicine,0
ORGANIZATION_TYPE_Legal_Services,0
ORGANIZATION_TYPE_Security,0
WALLSMATERIAL_MODE_Wooden,0
HOUSETYPE_MODE_specific_housing,0
WALLSMATERIAL_MODE_Mixed,0
EMERGENCYSTATE_MODE_Yes,0
EMERGENCYSTATE_MODE_No,0
DAYS_EMPLOYED_ANOM,0
HOUSETYPE_MODE_block_of_flats,0
HOUSETYPE_MODE_terraced_house,0
LIVE_REGION_NOT_WORK_REGION,0
FLOORSMIN_MODE_na,0
FLOORSMIN_MEDI_na,0
FLOORSMIN_AVG_na,0
YEARS_BUILD_MODE_na,0
YEARS_BEGINEXPLUATATION_AVG_na,0
YEARS_BUILD_MEDI_na,0
YEARS_BEGINEXPLUATATION_MODE_na,0
YEARS_BEGINEXPLUATATION_MEDI_na,0
TOTALAREA_MODE_na,0
OWN_CAR_AGE_na,0
