feature,importance
ORGANIZATION_TYPE_Industry__type_7,1
ORGANIZATION_TYPE_Insurance,1
ORGANIZATION_TYPE_Industry__type_4,1
ORGANIZATION_TYPE_Culture,1
ORGANIZATION_TYPE_Industry__type_1,1
ORGANIZATION_TYPE_Hotel,1
ORGANIZATION_TYPE_Business_Entity_Type_1,1
ORGANIZATION_TYPE_Emergency,1
OCCUPATION_TYPE_Cooking_staff,1
NAME_HOUSING_TYPE_With_parents,1
NAME_HOUSING_TYPE_Rented_apartment,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,1
OCCUPATION_TYPE_Secretaries,1
OCCUPATION_TYPE_Waiters_barmen_staff,1
OCCUPATION_TYPE_IT_staff,1
OCCUPATION_TYPE_Sales_staff,1
FLAG_DOCUMENT_6,1
FLAG_DOCUMENT_5,1
NAME_TYPE_SUITE_Family,1
FLAG_DOCUMENT_4,0
NAME_INCOME_TYPE_Pensioner,0
NAME_INCOME_TYPE_Businessman,0
NAME_INCOME_TYPE_Unemployed,0
NAME_INCOME_TYPE_Student,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
FLAG_DOCUMENT_21,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_17,0
DAYS_LAST_PHONE_CHANGE_na,0
NAME_TYPE_SUITE_Group_of_people,0
NAME_TYPE_SUITE_Other_B,0
CNT_FAM_MEMBERS_na,0
AMT_ANNUITY_na,0
FLAG_MOBIL,0
EXT_SOURCE_3_na,0
DAYS_EMPLOYED_na,0
AMT_REQ_CREDIT_BUREAU_WEEK_na,0
AMT_REQ_CREDIT_BUREAU_HOUR_na,0
AMT_REQ_CREDIT_BUREAU_YEAR_na,0
AMT_REQ_CREDIT_BUREAU_MON_na,0
AMT_REQ_CREDIT_BUREAU_QRT_na,0
AMT_REQ_CREDIT_BUREAU_DAY_na,0
OBS_30_CNT_SOCIAL_CIRCLE_na,0
DEF_60_CNT_SOCIAL_CIRCLE_na,0
OBS_60_CNT_SOCIAL_CIRCLE_na,0
DEF_30_CNT_SOCIAL_CIRCLE_na,0
AMT_GOODS_PRICE_na,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_2,0
ORGANIZATION_TYPE_Industry__type_8,0
ORGANIZATION_TYPE_Industry__type_2,0
ORGANIZATION_TYPE_Industry__type_6,0
ORGANIZATION_TYPE_Industry__type_3,0
ORGANIZATION_TYPE_Industry__type_5,0
ORGANIZATION_TYPE_Housing,0
ORGANIZATION_TYPE_Advertising,0
ORGANIZATION_TYPE_Electricity,0
ORGANIZATION_TYPE_Cleaning,0
ORGANIZATION_TYPE_Agriculture,0
OCCUPATION_TYPE_Managers,0
OCCUPATION_TYPE_Realty_agents,0
ELEVATORS_MEDI,0
OCCUPATION_TYPE_HR_staff,0
